,Company Name,Job Title,Location,Website URL
0,Crum & Forster,Data Analyst,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-crum-forster-3868419975?position=1&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=0Hfwj1cKYPJcZP9hPoiekA%3D%3D&trk=public_jobs_jserp-result_search-card
1,Amazon,Data Analyst,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-amazon-3901710478?position=2&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=rVdJ5%2BnY8Hh7Lgu6R2nXVA%3D%3D&trk=public_jobs_jserp-result_search-card
2,Helmerich & Payne,Data Analyst,"North Goa, Goa, India",https://in.linkedin.com/jobs/view/data-analyst-at-helmerich-payne-3897710307?position=3&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=YrHQImi5h19KhmkIV%2FzEMQ%3D%3D&trk=public_jobs_jserp-result_search-card
3,Volvo Group,Data Analyst,"Hoskote, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-volvo-group-3900523046?position=4&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=RufR9pgcizL6lUytMS6vdA%3D%3D&trk=public_jobs_jserp-result_search-card
4,Rebel Foods,Data Analyst-I,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-i-at-rebel-foods-3900892007?position=5&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=PjIa8imsz6KKrslotmyk1A%3D%3D&trk=public_jobs_jserp-result_search-card
5,Masai,Data Analytics (0-1 Year Experience),"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analytics-0-1-year-experience-at-masai-3905607817?position=6&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=vZn3UtqZTotgZpLNZslgKQ%3D%3D&trk=public_jobs_jserp-result_search-card
6,Greystar (International),Data Analyst,"Mohali district, India",https://in.linkedin.com/jobs/view/data-analyst-at-greystar-international-3890937042?position=7&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=gVmZJSuJpmAtDXnQfRCBqg%3D%3D&trk=public_jobs_jserp-result_search-card
7,Decathlon Sports India,Senior Data Analyst,"Bengaluru North, Karnataka, India",https://in.linkedin.com/jobs/view/senior-data-analyst-at-decathlon-sports-india-3903721378?position=8&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=OiHcxF52xwY7DfX9tSIgeg%3D%3D&trk=public_jobs_jserp-result_search-card
8,Kraft Heinz,Data Analyst,"Ahmedabad, Gujarat, India",https://in.linkedin.com/jobs/view/data-analyst-at-kraft-heinz-3901329745?position=9&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=86wJrsGEcfZIV73L8WiWVQ%3D%3D&trk=public_jobs_jserp-result_search-card
9,Kraft Heinz,Data Analyst,"Ahmedabad, Gujarat, India",https://in.linkedin.com/jobs/view/data-analyst-at-kraft-heinz-3901325900?position=10&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=4epKCQ11r1MWxokl5hs0uQ%3D%3D&trk=public_jobs_jserp-result_search-card
10,Zensar Technologies,Data Analyst,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analyst-at-zensar-technologies-3897077179?position=11&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=vd%2BriodLlevEBVVmMLKCsg%3D%3D&trk=public_jobs_jserp-result_search-card
11,Amazon,"Data Analyst, Global Trade","Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-global-trade-at-amazon-3899387064?position=12&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=rWxg0z%2FCrBt9f%2F%2BjcbHPRQ%3D%3D&trk=public_jobs_jserp-result_search-card
12,HP,Marketing Data Analyst,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/marketing-data-analyst-at-hp-3900775726?position=13&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=oe3%2Bzy5JuiycmPIcokOjzA%3D%3D&trk=public_jobs_jserp-result_search-card
13,FedEx ACC,Data Analyst [T500-11299],"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analyst-t500-11299-at-fedex-acc-3893951407?position=14&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=lcPMiYQaWrxo%2BqdWpKAKCA%3D%3D&trk=public_jobs_jserp-result_search-card
14,Experian,Data Analyst,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/data-analyst-at-experian-3905685186?position=15&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=u%2F%2BG3G3yYa%2FNT%2B85wGUfpw%3D%3D&trk=public_jobs_jserp-result_search-card
15,Target,Data Analyst,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-target-3902343770?position=16&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=8n0bCmE%2Fdmn%2BDTPSZpZi1g%3D%3D&trk=public_jobs_jserp-result_search-card
16,Delta Air Lines,Senior Data Analyst [T500-11067],"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-data-analyst-t500-11067-at-delta-air-lines-3870662201?position=17&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=uYVVEgWIbsceOXhfYrS6Pg%3D%3D&trk=public_jobs_jserp-result_search-card
17,Midtown Software,Data Analyst,"Chandigarh, India",https://in.linkedin.com/jobs/view/data-analyst-at-midtown-software-3885127542?position=18&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=%2Bw7q6AA7WSAAHROnMiehPw%3D%3D&trk=public_jobs_jserp-result_search-card
18,Virtusa,Data Analyst,"Andhra Pradesh, India",https://in.linkedin.com/jobs/view/data-analyst-at-virtusa-3896187836?position=19&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=yyJwEiQaXDiYHxay6s0BTg%3D%3D&trk=public_jobs_jserp-result_search-card
19,Pulsus Group LTD,Data Visualisation Analyst,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-visualisation-analyst-at-pulsus-group-ltd-3903867752?position=20&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=tEMdsa2hCqMrk7Rg5zfVPA%3D%3D&trk=public_jobs_jserp-result_search-card
20,Juno,Data Analyst,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-juno-3899550294?position=21&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=wHW%2BW1b%2FjLsGsJzzdL4nOw%3D%3D&trk=public_jobs_jserp-result_search-card
21,Signant Health,Data Analyst II,Greater Hyderabad Area,https://in.linkedin.com/jobs/view/data-analyst-ii-at-signant-health-3905203812?position=22&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=mnRHkTVtlM44B6d6Wvu9og%3D%3D&trk=public_jobs_jserp-result_search-card
22,HP,Data Analyst,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/data-analyst-at-hp-3902719174?position=23&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=LAj0BemAPgZVzMrfzrwNKg%3D%3D&trk=public_jobs_jserp-result_search-card
23,Tata Consultancy Services,Data Analyst,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-3899997979?position=24&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=UQjzQ%2BMs06lYxUxb%2FHyAsg%3D%3D&trk=public_jobs_jserp-result_search-card
24,Postman,Data Analyst II,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-ii-at-postman-3905301043?position=25&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=F0nYv2uKP6GFJl1azWLOdA%3D%3D&trk=public_jobs_jserp-result_search-card
